year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,32162.0,26158.8100732
2018,32162.0,26158.8100732
2019,32162.0,26158.8100732
2020,31081.0,25077.8100732
2021,32162.0,26158.8100732
2022,31081.0,25077.8100732
2023,31081.0,25077.8100732
2024,31081.0,25077.8100732
2025,31081.0,25077.8100732
2026,31081.0,25077.8100732
2027,31081.0,25077.8100732
2028,31081.0,25077.8100732
2029,31081.0,25077.8100732
2030,31081.0,25077.8100732
2031,31081.0,25077.8100732
2032,31081.0,25077.8100732
2033,31081.0,25077.8100732
2034,31081.0,25077.8100732
2035,31081.0,25077.8100732
2036,31081.0,25077.8100732
