year,Base case cost,Modeled non-residential energy efficiency
2017,194929.053081,225298.835789
2018,213220.078178,242162.526243
2019,238696.863135,265651.237947
2020,250455.379269,276492.18181
2021,258947.640922,284321.752378
2022,265480.149885,290344.498968
2023,270052.906159,294560.421582
2024,273972.411537,298174.069536
2025,278545.167812,302389.99215
2026,283771.174982,307208.189422
2027,288343.931257,311424.112036
2028,292263.436635,315037.75999
2029,296836.192909,319253.682604
2030,300102.447391,322265.055899
2031,305981.705458,327685.527831
