year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,67057.59,1242853.76,692168.8,72774.81,734927.48,327201.54
2018,70989.0,1315912.29,721434.15,76630.9,774068.97,341215.8
2019,76309.8,1414541.31,772877.18,81862.22,826909.98,364508.54
2020,78765.05,1460202.89,796693.4,84268.88,851373.41,375292.22
2021,80433.62,1491252.77,812888.43,85903.58,868008.55,382625.12
2022,81732.16,1514996.79,825272.86,87196.09,880729.53,388232.63
2023,82640.48,1531434.96,844634.65,88108.38,889536.37,396035.9
2024,83353.06,1544220.2,851389.46,88829.37,896386.13,399085.53
2025,84253.06,1560658.37,871059.37,89725.92,905192.96,406996.64
2026,85235.0,1578923.0,880832.35,90688.24,914978.34,411396.38
2027,86111.82,1595361.17,878408.73,91541.36,923785.17,411284.02
2028,86791.7,1608146.42,885163.54,92201.0,930634.93,414333.65
2029,87787.42,1626411.05,894813.28,93189.12,940420.31,418690.25
2030,88371.09,1637369.83,900603.12,93756.27,946291.53,421304.21
2031,89358.44,1655634.46,910252.86,94728.73,956076.9,425660.82
