year,Base case cost,Shungnak river,Cosmos creek,Kogoluktuk river,Cosmos hills hydroelectric design & permitting,Dahl creek,Wesley creek
2020,765089.019629,,,,3024722.52849,,
2021,789035.493092,4156942.67353,1261624.29446,2070042.55568,2967843.91314,1020737.74302,1116639.74899
2022,810324.13531,4067769.10366,1242041.35127,2027858.32851,2915053.76617,1017196.6063,1105879.05064
2023,825878.003845,3982140.78353,1222637.009,1987273.71336,2863243.32971,1011696.30607,1094170.2682
2024,838988.643492,3899680.12299,1204007.91779,1948392.27464,2812978.70576,1005792.42466,1082611.00212
2025,853860.264744,3817301.953,1184981.68191,1909066.3937,2763045.03457,1000224.89391,1071027.61536
2026,868131.777978,3734410.33906,1164525.94233,1868494.71007,2712398.77778,993489.749536,1058141.73446
2027,880058.017649,3652837.02005,1143565.5586,1828074.51478,2661960.19355,985563.363857,1044383.19574
2028,889016.222829,3573726.49389,1122807.06763,1788743.81442,2612425.4412,976680.430288,1030212.38648
2029,904992.994815,3497969.51804,1105520.59507,1752557.26232,2567017.61855,972499.685521,1020146.86018
2030,912897.810909,3423108.96723,1085991.5082,1715479.31726,2520049.5225,963973.854955,1006732.06187
2031,927551.0663,3349439.28882,1068301.23006,1679652.78311,2475537.77477,959003.036065,996043.538186
2032,942280.709664,3275680.99761,1049790.08388,1643132.72369,2430826.16621,953501.739811,984677.328959
2033,957904.679287,3204424.14812,1032606.61559,1608300.24234,2388054.71632,949146.11851,974535.518303
2034,972076.447106,3133284.55045,1014394.14176,1572790.22158,2344852.38852,943583.753881,963263.843093
2035,982777.294451,3067449.4518,998488.05783,1540894.59996,2304565.25284,938247.160205,953204.300526
2036,998348.783514,3000738.98613,982492.172539,1508279.57917,2264734.03913,934558.308809,943954.532476
2037,1009062.57127,2937875.23785,967396.751258,1477857.1316,2226385.03283,929697.343192,934515.533962
2038,1025069.9042,2872678.99963,951274.726952,1445521.76017,2187522.54812,926031.932414,925202.90481
2039,1034690.41045,2809732.64075,934505.782868,1413816.41448,2148569.08134,919654.691963,914158.012875
2040,1050074.44686,2746668.34375,918503.399788,1382217.69694,2110876.27452,915796.896707,904787.962966
2041,1047475.58076,2688678.78273,900968.676304,1352278.68635,2072231.84436,904535.069527,890812.854748
2042,1045916.2611,2633026.98626,884823.558066,1324020.00619,2035471.7777,894515.826735,878143.923378
2043,1044356.94144,2578642.98509,869020.295257,1296387.09372,1999536.73042,884694.863841,865735.374122
2044,1042277.84856,2524977.28871,853031.101519,1268845.50762,1963887.59074,874547.759916,853061.330369
2045,1041758.07534,2474079.97394,838927.245683,1243460.01884,1930584.56929,866149.069807,842194.925629
2046,1038639.43602,2421764.51457,822542.900106,1216058.4531,1895451.03773,855336.175377,828972.153526
2047,1038119.6628,2373200.97363,809068.336124,1191824.88548,1863666.72253,847302.481445,818585.06352
2048,1036040.56992,2324204.1376,794338.080057,1166587.78964,1831055.84956,837885.575176,806869.918836
2049,1034481.25026,2276826.7087,780424.108659,1142413.23237,1799680.33795,829160.422019,795900.392193
2050,1030842.83772,2228444.05016,764720.606881,1116689.6275,1766924.55131,818524.125407,783072.324663
