year,Base case diesel consumed,Modeled transmission and interties
2021,292309.53155,146154.765775
2022,293172.225692,146586.112846
2023,294034.919833,147017.459917
2024,295041.396331,147520.698166
2025,295616.525759,147808.262879
2026,295472.743402,147736.371701
2027,295041.396331,147520.698166
2028,294610.049261,147305.02463
2029,295041.396331,147520.698166
2030,294753.831617,147376.915809
2031,294753.831617,147376.915809
2032,294322.484547,147161.242273
2033,294178.70219,147089.351095
2034,293603.572762,146801.786381
2035,293747.355119,146873.67756
2036,293603.572762,146801.786381
2037,293747.355119,146873.67756
2038,293316.008049,146658.004024
2039,292740.878621,146370.439311
2040,292165.749193,146082.874597
