year,Base case cost,Sitkoh creek,Kathleen creek (lake kathleen) -- kethleen creek,Lake florence (florence creek),Kook lake (kook creek),Harley creek (tenakee springs),Indian river hydroelectric project - construction
2018,100124.24377,,,,,,
2019,113091.987347,,,,,,
2020,119245.839368,,,,,,
2021,123444.597978,1328482.97995,12842412.5235,3188794.20677,1179643.77769,371585.583153,
2022,126342.046413,1300900.83648,12569115.1946,3122360.11906,1154991.49366,363414.352868,
2023,128585.711611,1274079.64564,12304534.5759,3057870.70229,1131026.86432,355463.953354,
2024,130180.285797,1248009.53301,12048532.6286,2995295.58599,1107741.61055,347734.909826,
2025,132082.982705,1222443.48344,11797004.6033,2933903.67597,1084898.14027,340135.086759,
2026,134275.815475,1196952.95235,11548155.5545,2873092.19607,1062072.05178,332294.09725,
2027,136149.577,1172501.84468,11307806.8496,2814424.72356,1040218.24819,324992.561871,
2028,137698.010982,1148673.98805,11074181.5611,2757311.75735,1018924.62976,317872.00784,
2029,140177.851465,1125126.50694,10841846.2131,2700773.46617,997860.224732,310791.761512,
2030,141392.355491,1102426.70814,10619966.3671,2646442.20686,977575.37067,303990.454739,
2031,143847.170778,1079894.55135,10397799.8353,2592383.06663,957412.35293,297182.790639,
2032,146287.909393,1057850.27749,10180537.6667,2539518.09292,937682.244476,290504.642857,
2033,148714.571335,1036282.12131,9968064.57989,2487818.9662,918374.568586,283952.645775,
2034,151819.259672,1015474.02919,9759319.24581,2437398.77967,899777.151564,277867.189272,
2035,153294.964178,995091.115874,9560089.06591,2388680.3078,881543.227804,271680.188277,
2036,155996.903272,974804.290305,9359994.93064,2340081.52674,863365.880933,265456.310963,
2037,157850.331826,955701.460516,9169984.22394,2293912.80574,846313.216055,259905.167338,
2038,160531.937949,936275.512475,8978504.27707,2247414.81183,828900.238263,253913.040396,
2039,162996.919722,917851.454484,8794255.52761,2202826.33234,812437.342373,248522.771047,
2040,166386.269659,899576.96989,8610076.98357,2158507.5836,796086.41214,243130.366599,
2041,166386.269659,882681.975789,8444531.76219,2117840.44229,781041.724729,238297.302777,
2042,166386.269659,866182.957716,8282866.50305,2078126.43615,766349.646826,233577.513775,
2043,166386.269659,850070.636254,8124990.282,2039343.22914,752001.915279,228968.345079,
2044,166386.269659,834335.947184,7970814.28349,2001469.0032,737990.458563,224467.203732,
2045,166386.269659,818970.040175,7820251.78774,1964482.45511,724307.395617,220071.557968,
2046,166386.269659,803964.270959,7673218.09409,1928362.77768,710945.028879,215778.934965,
2047,166808.569836,789732.500206,7530052.8084,1893511.95674,698318.143296,212009.220654,
2048,166808.569836,775421.883687,7389830.55289,1859065.54849,685574.797492,207915.456397,
2049,167230.870013,761868.972205,7253317.05457,1825848.77759,673552.423842,204339.939856,
2050,167653.17019,748643.605144,7120012.99293,1793420.42338,661821.722588,200858.122258,
