year,Base case cost,Modeled water and wastewater efficiency
2017,46551.3538741,39096.2409931
2018,49442.9983281,40968.4502956
2019,53390.2190801,43577.8269638
2020,55294.4952935,44769.6250318
2021,56616.2764082,45559.4532575
2022,57545.5596309,46079.2943433
2023,58280.5535677,46466.9778924
2024,58818.632804,46720.5640899
2025,59452.3485059,47043.4670601
2026,60276.9793011,47501.8642859
2027,60909.6772903,47829.5010505
2028,61446.2845816,48092.9504297
2029,62254.2836807,48547.4511384
2030,62681.9521689,48740.0456324
2031,63502.9837842,49208.762233
