year,Base case cost,Modeled non-residential energy efficiency
2017,177323.272984,210229.950206
2018,190688.890147,221679.185481
2019,208955.233603,237780.042659
2020,217865.645046,245079.166096
2021,224102.933055,249881.893152
2022,228558.138776,253028.409565
2023,232122.303353,255358.915378
2024,234795.426786,256872.829605
2025,237914.07079,258830.777265
2026,241923.755939,261652.601828
2027,245042.399944,263656.172631
2028,247715.523377,265261.358735
2029,251725.208526,268149.233962
2030,253952.811386,269376.512513
2031,257962.496535,272305.881715
