year,Base case diesel consumed,Modeled transmission and interties
2021,64127.0638844,32063.5319422
2022,63970.6564115,31985.3282058
2023,63814.2489386,31907.1244693
2024,63657.8414658,31828.9207329
2025,63501.4339929,31750.7169964
2026,63188.6190471,31594.3095235
2027,63032.2115742,31516.1057871
2028,62875.8041013,31437.9020507
2029,62719.3966284,31359.6983142
2030,62562.9891555,31281.4945778
2031,62406.5816826,31203.2908413
2032,62250.1742098,31125.0871049
2033,62093.7667369,31046.8833684
2034,62093.7667369,31046.8833684
2035,61937.359264,30968.679632
2036,61780.9517911,30890.4758955
2037,61780.9517911,30890.4758955
2038,61624.5443182,30812.2721591
2039,61624.5443182,30812.2721591
2040,61624.5443182,30812.2721591
