year,Base case cost,"Napaskiak, alaska heat recovery study"
2019,815936.818942,817804.047521
2020,849435.105213,849118.325414
2021,878961.497413,876884.005449
2022,899348.390946,895732.012495
2023,915312.095088,910378.167018
2024,929885.570142,923720.971972
2025,946106.04474,938663.209837
2026,969085.614658,960316.52115
2027,991162.574767,981152.736209
2028,1011468.73499,1000303.2308
2029,1030071.15172,1017633.66734
2030,1047506.49209,1034082.23894
2031,1073581.48794,1058852.36309
2032,1092727.98482,1076777.4305
2033,1119151.97641,1101929.06925
2034,1140357.19344,1121877.62351
2035,1162349.94823,1142830.00785
2036,1189758.72377,1169012.40617
2037,1212040.8846,1190283.77228
2038,1234065.67164,1211111.06463
