year,Base case cost,Modeled solar power
2020,268915.25487,275268.179271
2021,279367.851578,285383.080005
2022,287193.281594,292913.027094
2023,292671.082606,298136.572819
2024,297675.132246,302903.734049
2025,303158.621525,308144.589853
2026,309425.466414,314163.205262
2027,315235.624733,319742.032419
2028,319940.634058,324232.218433
2029,326552.025399,330611.924705
2030,329691.94872,333569.160681
2031,337105.385692,340750.365119
2032,343391.73321,346820.53129
2033,350463.874169,353670.87744
2034,357905.752475,360896.058435
2035,362625.388771,365435.422195
2036,370086.769707,372689.731152
2037,374811.281661,377242.890193
2038,382292.165225,384525.926011
2039,387809.784105,389870.580498
