year,Base case cost,Modeled non-residential energy efficiency
2017,497845.22359,544522.436609
2018,527688.449821,570070.25023
2019,569468.966546,606717.873539
2020,588369.676492,622231.896004
2021,601301.741193,632266.874962
2022,611249.48327,639584.486676
2023,618212.902724,644183.667112
2024,624181.54797,647905.221061
2025,631144.967424,652589.977692
2026,639103.161086,658236.946043
2027,646066.58054,663003.314482
2028,652035.225786,666888.137985
2029,659993.419448,672653.259461
2030,663972.516279,674772.246005
2031,672925.484148,681532.514945
