year,Base case diesel consumed,"Napaskiak wind, power and heat recovery",Modeled wind power
2019,78173.0392065,39437.9515802,65074.3136187
2020,78173.0392065,39437.9515802,65074.3136187
2021,78254.300162,39519.2125357,65155.5745742
2022,78254.300162,39519.2125357,65155.5745742
2023,78254.300162,39519.2125357,65155.5745742
2024,78335.5611175,39600.4734912,65236.8355298
2025,78335.5611175,39600.4734912,65236.8355298
2026,78335.5611175,39600.4734912,65236.8355298
2027,78416.822073,39681.7344467,65318.0964853
2028,78416.822073,39681.7344467,65318.0964853
2029,78498.0830285,39762.9954023,65399.3574408
2030,78498.0830285,39762.9954023,65399.3574408
2031,78579.343984,39844.2563578,65480.6183963
2032,78579.343984,39844.2563578,65480.6183963
2033,78579.343984,39844.2563578,65480.6183963
2034,78660.6049396,39925.5173133,65561.8793518
2035,78660.6049396,39925.5173133,65561.8793518
2036,78741.8658951,40006.7782688,65643.1403073
2037,78741.8658951,40006.7782688,65643.1403073
2038,78823.1268506,40088.0392243,65724.4012629
