year,Base case cost,"Napaskiak wind, power and heat recovery",Modeled wind power
2019,254062.377421,415919.359336,407187.749144
2020,268915.25487,416892.785701,415333.72194
2021,279367.851578,416042.947971,419998.051674
2022,287193.281594,413923.449657,422540.354563
2023,292671.082606,410810.514629,423237.967607
2024,297675.132246,407764.039569,423688.456439
2025,303158.621525,404923.310459,424568.750488
2026,309425.466414,402589.157033,426180.716173
2027,315235.624733,400329.26797,427556.472669
2028,319940.634058,397492.237675,428045.603008
2029,326552.025399,395870.605621,430246.485033
2030,329691.94872,392515.949345,429601.89339
2031,337105.385692,391522.157744,432621.256333
2032,343391.73321,389918.185263,434724.681759
2033,350463.874169,388803.555891,437549.153656
2034,357905.752475,388165.033062,440814.002032
2035,362625.388771,386124.26156,441836.836241
2036,370086.769707,385710.55906,445257.537471
2037,374811.281661,383875.168821,446418.401881
2038,382292.165225,383676.775194,449988.639465
