year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,147101.0,128548.219917
2018,147997.0,129444.219917
2019,149709.0,131156.219917
2020,150605.0,132052.219917
2021,152329.0,133776.219917
2022,153207.0,134654.219917
2023,154089.0,135536.219917
2024,154977.0,136424.219917
2025,155862.0,137309.219917
2026,157571.0,139018.219917
2027,159347.0,140794.219917
2028,161058.0,142505.219917
2029,161957.0,143404.219917
2030,163669.0,145116.219917
2031,165417.0,146864.219917
2032,166317.0,147764.219917
2033,168037.0,149484.219917
2034,168938.0,150385.219917
2035,170679.0,152126.219917
2036,172425.0,153872.219917
