year,Base case cost,Modeled biomass for heat (cordwood)
2017,695810.102297,757431.451463
2018,744447.418568,799453.700179
2019,815936.818942,862126.290802
2020,849435.105213,891098.921786
2021,878961.497413,917236.277703
2022,899348.390946,934813.620894
2023,915312.095088,948546.723851
2024,929885.570142,961096.967078
2025,946106.04474,975130.011702
2026,969085.614658,995757.453583
2027,991162.574767,1015688.15499
2028,1011468.73499,1034053.44909
2029,1030071.15172,1050363.3433
2030,1047506.49209,1066267.2169
2031,1073581.48794,1089901.60749
2032,1092727.98482,1106811.09382
2033,1119151.97641,1130830.19054
2034,1140357.19344,1149647.74265
2035,1162349.94823,1169826.24204
2036,1189758.72377,1194880.61055
