year,Base case diesel consumed,Modeled solar power
2020,78173.0392065,76991.0735623
2021,78254.300162,77081.790243
2022,78254.300162,77091.1703223
2023,78254.300162,77100.475361
2024,78335.5611175,77190.966915
2025,78335.5611175,77200.1236686
2026,78335.5611175,77209.2071682
2027,78416.822073,77299.4789553
2028,78416.822073,77308.4177002
2029,78498.0830285,77398.5458907
2030,78498.0830285,77407.3421878
2031,78579.343984,77497.3290701
2032,78579.343984,77505.9851894
2033,78579.343984,77514.5720597
2034,78660.6049396,77604.3511906
2035,78660.6049396,77612.8012206
2036,78741.8658951,77702.4446059
2037,78741.8658951,77710.7599762
2038,78823.1268506,77800.2697791
2039,78823.1268506,77808.4526357
