year,Base case diesel consumed,"Napaskiak, alaska heat recovery study"
2019,149709.0,143010.0
2020,150605.0,143906.0
2021,152329.0,145630.0
2022,153207.0,146508.0
2023,154089.0,147390.0
2024,154977.0,148278.0
2025,155862.0,149163.0
2026,157571.0,150872.0
2027,159347.0,152648.0
2028,161058.0,154359.0
2029,161957.0,155258.0
2030,163669.0,156970.0
2031,165417.0,158718.0
2032,166317.0,159618.0
2033,168037.0,161338.0
2034,168938.0,162239.0
2035,170679.0,163980.0
2036,172425.0,165726.0
2037,174140.0,167441.0
2038,175041.0,168342.0
