year,Base case cost,Modeled non-residential energy efficiency
2017,515928.909112,491345.286511
2018,543306.366008,515336.187247
2019,581837.601639,549101.158655
2020,601103.219455,565983.644358
2021,613270.978075,576646.266908
2022,623410.776926,585531.785699
2023,630508.636121,591751.648853
2024,635578.535546,596194.408249
2025,642676.394741,602414.271403
2026,650788.233821,609522.686436
2027,657886.093017,615742.54959
2028,662955.992442,620185.308986
2029,671067.831522,627293.724019
2030,676137.730947,631736.483415
2031,684249.570027,638844.898448
