year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,919.893571909,597.930821741
2018,916.977929405,596.035654113
2019,915.865543936,595.312603558
2020,914.231440772,594.250436502
2021,912.521944878,593.13926417
2022,911.377071996,592.395096797
2023,910.15817716,591.602815154
2024,909.52391868,591.190547142
2025,909.120224878,590.928146171
2026,909.184514315,590.969934305
2027,909.115838392,590.925294955
2028,909.038800729,590.875220474
2029,912.781570026,593.308020517
2030,915.785079331,595.260301565
2031,917.694160344,596.501204224
