year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,267211.0,232194.26168
2018,268925.0,233908.26168
2019,269498.0,234481.26168
2020,270071.0,235054.26168
2021,271211.0,236194.26168
2022,271213.0,236196.26168
2023,271212.0,236195.26168
2024,270640.0,235623.26168
2025,270069.0,235052.26168
2026,270064.0,235047.26168
2027,270067.0,235050.26168
2028,270070.0,235053.26168
2029,266071.0,231054.26168
2030,263213.0,228196.26168
2031,261498.0,226481.26168
2032,262640.0,227623.26168
2033,264356.0,229339.26168
2034,266069.0,231052.26168
2035,266643.0,231626.26168
2036,266068.0,231051.26168
