year,Base case diesel consumed,Modeled residential energy efficiency
2017,130383.221703,104462.587269
2018,132076.470246,106155.835812
2019,132640.886427,106720.251993
2020,133205.302608,107284.668174
2021,134334.13497,108413.500536
2022,134334.13497,108413.500536
2023,134334.13497,108413.500536
2024,133769.718789,107849.084355
2025,133205.302608,107284.668174
2026,133205.302608,107284.668174
2027,133205.302608,107284.668174
2028,133205.302608,107284.668174
2029,129254.389342,103333.754907
2030,126432.308437,100511.674003
2031,124739.059894,98818.4254597
2032,125867.892256,99947.2578216
2033,127561.140799,101640.506364
2034,129254.389342,103333.754907
2035,129818.805522,103898.171088
2036,129254.389342,103333.754907
