year,annotation,consumption kWh,residential kWh,non-residential kWh
2003,,24789100.0,8895382.0,15893718.0
2004,,25046750.0,9087263.0,15959487.0
2005,,25492460.0,9142032.0,16350428.0
2006,,25598453.0,9419251.0,16179202.0
2007,,26384160.0,9422054.0,16962106.0
2008,,25477974.0,9170918.0,16307056.0
2009,,25940390.0,9429928.0,16510462.0
2010,,25955798.0,9277052.0,16678746.0
2011,,26870373.0,9698476.0,17171897.0
2012,,26904779.0,9722079.0,17182700.0
2013,,27709561.0,9810870.0,17898691.0
2014,start of forecast,26731219.0,9313457.0,17417763.0
2015,,26713560.0,9295798.0,17417763.0
2016,,26690669.0,9272906.0,17417763.0
2017,,26665714.0,9247951.0,17417763.0
2018,,26647442.0,9229679.0,17417763.0
2019,,26640729.0,9222966.0,17417763.0
2020,,26633686.0,9215923.0,17417763.0
2021,,26624105.0,9206342.0,17417763.0
2022,,26622080.0,9204317.0,17417763.0
2023,,26622959.0,9205196.0,17417763.0
2024,,26629772.0,9212010.0,17417763.0
2025,,26635322.0,9217560.0,17417763.0
2026,,26638933.0,9221170.0,17417763.0
2027,,26636736.0,9218973.0,17417763.0
2028,,26634527.0,9216765.0,17417763.0
2029,,26675051.0,9257289.0,17417763.0
2030,,26705732.0,9287970.0,17417763.0
2031,,26725125.0,9307362.0,17417763.0
2032,,26713581.0,9295818.0,17417763.0
2033,,26694119.0,9276357.0,17417763.0
2034,,26676786.0,9259024.0,17417763.0
2035,,26669514.0,9251751.0,17417763.0
2036,,26677388.0,9259626.0,17417763.0
2037,,26698211.0,9280449.0,17417763.0
2038,,26715352.0,9297589.0,17417763.0
2039,,26718825.0,9301062.0,17417763.0
2040,,26712786.0,9295023.0,17417763.0
