year,Base case cost,Modeled biomass for heat (pellet)
2017,617610.988405,696850.65767
2018,694182.346401,762038.248939
2019,792680.724605,845709.261031
2020,842978.882808,888135.884597
2021,879082.511277,918701.072701
2022,906210.293923,941082.257389
2023,922479.6726,954166.745453
2024,934066.11572,962973.961433
2025,951000.240162,976378.48987
2026,972587.753546,994070.753766
2027,988802.577516,1007179.76937
2028,1005017.76149,1020307.77085
2029,1008761.15994,1020596.992
2030,1008454.07818,1018009.04833
2031,1022803.19886,1028553.9173
2032,1050907.52998,1052485.7527
2033,1078922.28062,1076729.73485
2034,1109859.79729,1103527.45427
2035,1125586.28682,1116670.65975
2036,1147105.14597,1134080.90532
