year,annotation,Average Load
2003,,2830.0
2004,,2859.0
2005,,2910.0
2006,,2922.0
2007,,3012.0
2008,,2908.0
2009,,2961.0
2010,,2963.0
2011,,3067.0
2012,,3071.0
2013,,3163.0
2014,start of forecast,3052.0
2015,,3049.0
2016,,3047.0
2017,,3044.0
2018,,3042.0
2019,,3041.0
2020,,3040.0
2021,,3039.0
2022,,3039.0
2023,,3039.0
2024,,3040.0
2025,,3041.0
2026,,3041.0
2027,,3041.0
2028,,3040.0
2029,,3045.0
2030,,3049.0
2031,,3051.0
2032,,3049.0
2033,,3047.0
2034,,3045.0
2035,,3044.0
2036,,3045.0
2037,,3048.0
2038,,3050.0
2039,,3050.0
2040,,3049.0
