year,Base case cost,Modeled water and wastewater efficiency
2017,30570.5775172,38198.4511735
2018,31572.4309463,38462.59717
2019,32795.5417615,38841.9839666
2020,33437.9838695,38909.654303
2021,33906.6818696,38891.3173793
2022,34251.7049458,38803.7538004
2023,34441.9974561,38634.8127269
2024,34550.7916254,38421.4148576
2025,34734.5733214,38256.7664236
2026,34966.2308529,38126.5334801
2027,35180.883248,37998.845423
2028,35395.9750026,37877.193455
2029,35276.293849,37534.5748406
2030,35139.4446769,37198.2014057
2031,35224.0508369,37000.554078
