year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,267211.0,228692.587848
2018,268925.0,230406.587848
2019,269498.0,230979.587848
2020,270071.0,231552.587848
2021,271211.0,232692.587848
2022,271213.0,232694.587848
2023,271212.0,232693.587848
2024,270640.0,232121.587848
2025,270069.0,231550.587848
2026,270064.0,231545.587848
2027,270067.0,231548.587848
2028,270070.0,231551.587848
2029,266071.0,227552.587848
2030,263213.0,224694.587848
2031,261498.0,222979.587848
2032,262640.0,224121.587848
2033,264356.0,225837.587848
2034,266069.0,227550.587848
2035,266643.0,228124.587848
2036,266068.0,227549.587848
