year,Base case cost,Modeled solar power
2020,251005.077548,255614.752277
2021,261753.073836,266051.702988
2022,270692.396337,274722.460144
2023,277486.62826,281289.615066
2024,283593.286686,287186.248848
2025,289751.968328,293139.925697
2026,298233.486534,301386.719097
2027,305270.493461,308217.260165
2028,310836.977502,313604.87608
2029,318756.644982,321316.280424
2030,324422.840186,326812.601088
2031,332468.230437,334659.064339
2032,341365.934366,343351.493992
2033,349955.834271,351740.850583
2034,358608.162034,360197.26798
2035,364149.50152,365590.187558
2036,373318.593223,374572.005458
2037,379748.662638,380850.85681
2038,389053.0147,389976.299625
2039,396390.889222,397160.240703
