year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,8932.991284,5806.4443346
2018,8937.2046512,5809.18302328
2019,8941.52490721,5811.99118969
2020,8945.82941681,5814.78912093
2021,8950.03811347,5817.52477375
2022,8954.23052993,5820.24984446
2023,8958.37610748,5822.94446986
2024,8962.56438718,5825.66685167
2025,8966.74079034,5828.38151372
2026,8970.92439949,5831.10085967
2027,8975.00925993,5833.75601895
2028,8979.02579693,5836.36676801
2029,8983.65377527,5839.37495393
2030,8988.1081427,5842.27029276
2031,8992.33992521,5845.02095139
