year,Base case diesel consumed,Modeled residential energy efficiency
2017,79685.1442476,54413.7315673
2018,80927.700059,55656.2873787
2019,82170.2558704,56898.8431901
2020,83412.8116818,58141.3990015
2021,84655.3674933,59383.9548129
2022,85897.9233047,60626.5106243
2023,87140.4791161,61869.0664357
2024,89625.5907389,64354.1780586
2025,90868.1465503,65596.73387
2026,92110.7023617,66839.2896814
2027,93353.2581731,68081.8454928
2028,94595.8139845,69324.4013042
2029,95838.369796,70566.9571156
2030,97080.9256074,71809.512927
2031,98323.4814188,73052.0687384
2032,99566.0372302,74294.6245498
2033,100808.593042,75537.1803613
2034,102051.148853,76779.7361727
2035,103293.704664,78022.2919841
2036,104536.260476,79264.8477955
