year,Base case diesel consumed,Modeled solar power
2020,73179.3229004,71967.9920844
2021,73526.1443359,72324.5041665
2022,73959.6711304,72767.6440823
2023,74393.1979248,73210.7070931
2024,74826.7247192,73653.6938142
2025,75260.2515137,74096.6048558
2026,75693.7783081,74539.4408235
2027,76127.3051025,74982.2023178
2028,76560.831897,75424.8899346
2029,76994.3586914,75867.5042647
2030,77427.8854859,76310.0458945
2031,77861.4122803,76752.5154057
2032,78294.9390747,77194.9133751
2033,78641.7605103,77550.5350163
2034,78988.5819458,77906.0862558
2035,79335.4033814,78261.5676568
2036,79768.9301758,78703.6851371
2037,80115.7516113,79059.0285329
2038,80549.2784058,79501.009112
2039,80896.0998413,79856.2167019
