year,Base case cost,Modeled diesel efficiency
2019,234688.863113,397273.00941
2020,251005.077548,407795.318397
2021,261753.073836,413356.64089
2022,270692.396337,417372.376598
2023,277486.62826,419534.379669
2024,283593.286686,421165.407423
2025,289751.968328,422935.615281
2026,298233.486534,426907.225415
2027,305270.493461,429653.273003
2028,310836.977502,431148.057367
2029,318756.644982,434865.669432
2030,324422.840186,436616.281746
2031,332468.230437,440609.497246
2032,341365.934366,445455.374037
2033,349955.834271,450097.435523
2034,358608.162034,454870.474732
2035,364149.50152,456887.828233
2036,373318.593223,462273.924881
2037,379748.662638,465239.12881
2038,389053.0147,470884.824306
