year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,2.1
2003,,1.66,2.25
2004,,2.39,3.1
2005,,2.84,3.5
2006,,2.85,3.89
2008,,2.97,5.51
2009,,2.98,3.56
2010,,,3.59
2011,,,4.01
2012,,3.51,5.28
2013,,3.63,5.05
2014,,,4.85
2016,,2.12,4.58
2017,,2.53,4.99
2018,,2.82,5.28
2019,,3.23,5.69
2020,,3.43,5.89
2021,,3.56,6.02
2022,,3.66,6.12
2023,,3.73,6.19
2024,,3.79,6.25
2025,,3.85,6.31
2026,,3.94,6.4
2027,,4.01,6.47
2028,,4.06,6.52
2029,,4.14,6.6
2030,,4.19,6.65
2031,,4.27,6.73
2032,,4.36,6.82
2033,,4.45,6.91
2034,,4.54,7.0
2035,,4.59,7.05
2036,,4.68,7.14
2037,,4.74,7.2
2038,,4.83,7.29
2039,,4.9,7.36
2040,,5.0,7.46
