year,Base case cost,Modeled biomass for heat (cordwood)
2017,824210.635092,823500.938239
2018,878698.477826,871169.505103
2019,954031.300561,937320.039654
2020,994911.783295,973220.555773
2021,1024372.79647,999117.82337
2022,1049021.2892,1020822.374
2023,1068732.95238,1038209.36175
2024,1094660.62916,1062033.17165
2025,1113031.82234,1078321.82759
2026,1136888.43507,1099519.8319
2027,1157385.07824,1117776.14214
2028,1174459.82098,1133028.35067
2029,1197100.99371,1153269.48748
2030,1214462.54645,1168846.84975
2031,1237458.61962,1189480.33205
2032,1262512.17235,1211990.39385
2033,1287790.18509,1234742.55913
2034,1313278.6587,1257722.41523
2035,1331450.61144,1274198.44449
2036,1357337.66505,1297610.13848
