year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,165187.0,145290.302275
2018,166434.0,146537.302275
2019,167681.0,147784.302275
2020,168928.0,149031.302275
2021,170174.0,150277.302275
2022,171421.0,151524.302275
2023,172667.0,152770.302275
2024,175158.0,155261.302275
2025,176404.0,156507.302275
2026,177651.0,157754.302275
2027,178897.0,159000.302275
2028,180144.0,160247.302275
2029,181391.0,161494.302275
2030,182638.0,162741.302275
2031,183884.0,163987.302275
2032,185131.0,165234.302275
2033,186378.0,166481.302275
2034,187623.0,167726.302275
2035,188870.0,168973.302275
2036,190115.0,170218.302275
