year,Base case cost,Chevak water and vacuum plant heat recovery
2019,777980.315355,762664.12162
2020,803487.071745,786170.87801
2021,821022.966763,802331.773028
2022,835370.517233,815554.323498
2023,843341.378605,822900.18487
2024,851312.239977,830246.046242
2025,860877.273623,839061.079888
2026,872036.479544,849345.285809
2027,880007.340916,856691.147181
2028,887978.202288,864037.008553
2029,899137.408209,874321.214474
2030,903919.925032,878728.731297
2031,915079.130953,889012.937218
2032,,
2033,,
2034,,
2035,,
2036,,
2037,,
2038,,
