year,Base case diesel consumed,Modeled residential energy efficiency
2017,65249.5599458,44993.0293717
2018,69529.2151607,49272.6845866
2019,73808.8703757,53552.3398016
2020,78088.5255906,57831.9950165
2021,82979.560122,62723.0295479
2022,87259.2153369,67002.6847628
2023,92150.2498683,71893.7192942
2024,96429.9050832,76173.3745092
2025,101320.939615,81064.4090405
2026,106211.974146,85955.4435719
2027,111103.008677,90846.4781033
2028,116605.422525,96348.8919511
2029,121496.457057,101239.926482
2030,126998.870904,106742.34033
2031,131889.905436,111633.374862
2032,137392.319283,117135.788709
2033,142894.733131,122638.202557
2034,148397.146979,128140.616405
2035,153899.560827,133643.030253
2036,160013.353991,139756.823417
