year,annotation,Average Load
2003,,261.0
2004,,261.0
2005,,245.0
2006,,253.0
2007,,251.0
2008,,250.0
2009,,257.0
2010,,258.0
2011,,266.0
2012,,285.0
2013,,278.0
2014,start of forecast,284.0
2015,,288.0
2016,,292.0
2017,,296.0
2018,,300.0
2019,,305.0
2020,,309.0
2021,,313.0
2022,,318.0
2023,,323.0
2024,,327.0
2025,,332.0
2026,,337.0
2027,,342.0
2028,,347.0
2029,,352.0
2030,,357.0
2031,,362.0
2032,,368.0
2033,,373.0
2034,,379.0
2035,,384.0
2036,,390.0
2037,,396.0
2038,,402.0
2039,,408.0
2040,,414.0
