year,annotation,line losses
2002,,-inf
2003,,0.148
2004,,0.215
2005,,0.269
2006,,0.307
2007,,0.099
2008,,0.06
2009,,0.181
2010,,0.113
2011,,0.191
2012,,0.168
2013,,0.153
2016,start of forecast,0.1707
2017,,0.1707
2018,,0.1707
2019,,0.1707
2020,,0.1707
2021,,0.1707
2022,,0.1707
2023,,0.1707
2024,,0.1707
2025,,0.1707
2026,,0.1707
2027,,0.1707
2028,,0.1707
2029,,0.1707
2030,,0.1707
2031,,0.1707
2032,,0.1707
2033,,0.1707
2034,,0.1707
2035,,0.1707
2036,,0.1707
2037,,0.1707
2038,,0.1707
2039,,0.1707
2040,,0.1707
