year,Base case diesel consumed,Modeled non-residential ashp
2017,124236.741782,86965.7192845
2018,124236.741782,86965.7192845
2019,124236.741782,86965.7192845
2020,124236.741782,86965.7192845
2021,124236.741782,86965.7192845
2022,124236.741782,86965.7192845
2023,124236.741782,86965.7192845
2024,124236.741782,86965.7192845
2025,124236.741782,86965.7192845
2026,124236.741782,86965.7192845
2027,124236.741782,86965.7192845
2028,124236.741782,86965.7192845
2029,124236.741782,86965.7192845
2030,124236.741782,86965.7192845
2031,124236.741782,86965.7192845
