year,Base case cost,Modeled non-residential energy efficiency
2017,833453.985838,918914.461281
2018,884197.790239,965556.821322
2019,954876.660656,1030522.96567
2020,989309.9565,1062173.13855
2021,1011057.30124,1082162.72143
2022,1029180.08853,1098820.70716
2023,1040053.7609,1108815.49859
2024,1050927.43327,1118810.29003
2025,1061801.10565,1128805.08147
2026,1076299.33547,1142131.47005
2027,1088985.28657,1153792.06006
2028,1098046.68022,1162121.05293
2029,1112544.91005,1175447.44151
2030,1119794.02496,1182110.6358
2031,1134292.25479,1195437.02439
