year,Base case cost,Modeled solar power (pv)
2016,181636.925476,192456.415041
2017,218562.385442,228805.843013
2018,246028.214917,255874.332326
2019,285020.200009,294307.711892
2020,304870.244865,313911.195496
2021,318670.194534,327573.994613
2022,330759.597678,339558.585067
2023,338360.742485,347116.068418
2024,346582.923552,355295.646771
2025,356302.218087,364973.383187
2026,366958.460629,375560.241616
2027,377046.062029,385594.250262
2028,385559.498315,394083.720801
2029,396573.260491,405032.022536
2030,403970.988954,412421.604093
2031,415520.260065,423907.799263
2032,427524.906399,435850.761325
2033,440063.520635,448315.425276
2034,454025.278759,462218.337094
2035,464381.019884,472543.412811
