year,Base case cost,Modeled diesel efficiency
2019,76174.4396245,231876.028858
2020,80655.2890141,232137.968812
2021,84151.5054049,231594.121282
2022,86626.5496815,230209.17514
2023,88201.5778575,228091.227545
2024,89934.3011623,226199.837382
2025,91516.060228,224252.455286
2026,93549.7504553,222795.263724
2027,95536.3244551,221372.723618
2028,96897.8872739,219457.659869
2029,98713.3043657,218029.08581
2030,100271.02454,216438.4048
2031,102322.022769,215366.630009
2032,104373.020998,214363.675209
2033,106873.065722,213836.151472
2034,109161.5682,213181.948461
2035,110999.101072,212181.866656
2036,113067.407303,211454.170207
2037,114446.278124,210160.838714
2038,117232.866435,210206.942205
