year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,7599.08699891,4939.40654929
2018,7589.07554283,4932.89910284
2019,7579.90642077,4926.9391735
2020,7564.49869997,4916.92415498
2021,7555.74508496,4911.23430523
2022,7545.97534212,4904.88397238
2023,7538.41031701,4899.96670606
2024,7530.99245066,4895.14509293
2025,7523.38813882,4890.20229023
2026,7512.43912836,4883.08543343
2027,7504.46525496,4877.90241572
2028,7496.50802848,4872.73021851
2029,7488.75522614,4867.69089699
2030,7481.07234086,4862.69702156
2031,7473.58722096,4857.83169362
