year,Base case cost,Modeled water and wastewater efficiency
2017,55135.3574554,44456.0497548
2018,58326.4306787,46452.214547
2019,62608.5182308,49187.1693648
2020,64607.7082352,50392.127556
2021,66004.7917385,51191.0212634
2022,67104.0114273,51793.4917639
2023,67804.1151894,52129.0281443
2024,68404.5886148,52400.7004609
2025,69104.203537,52742.6461049
2026,70004.0159723,53225.0947737
2027,70703.2105933,53573.4583964
2028,71302.9319231,53857.827452
2029,72100.6240715,54278.6015328
2030,72600.5372449,54501.4357541
2031,73496.6495188,54994.2763808
