year,Base case cost,Crooked creek (getmuna creek tributary)
2021,84151.5054049,1308157.75884
2022,86626.5496815,1282225.17272
2023,88201.5778575,1256886.09459
2024,89934.3011623,1232520.4088
2025,91516.060228,1208363.14978
2026,93549.7504553,1184782.41929
2027,95536.3244551,1162150.62656
2028,96897.8872739,1139655.71349
2029,98713.3043657,1117700.31408
2030,100271.02454,1096666.43237
2031,102322.022769,1075744.65443
2032,104373.020998,1055314.6445
2033,106873.065722,1035813.92308
2034,109161.5682,1016349.45985
2035,110999.101072,997776.766309
2036,113067.407303,979218.548032
2037,114446.278124,961071.230572
2038,117232.866435,943873.426474
2039,118848.279949,926584.549952
2040,121892.565178,910246.581272
2041,121892.565178,893694.622579
2042,122398.343457,878036.378685
2043,122398.343457,862251.200849
2044,122904.121736,847341.766338
2045,122904.121736,832287.847656
2046,122904.121736,817586.755174
2047,123409.900015,803735.997862
2048,123915.678293,790221.721852
2049,123915.678293,776530.262457
2050,123915.678293,763159.696735
2051,123915.678293,750102.503664
2052,123915.678293,737351.338548
2053,123915.678293,724899.028912
2054,123915.678293,712738.570179
2055,123915.678293,700863.122237
2056,123915.678293,689266.005116
2057,123915.678293,677940.695443
2058,123915.678293,666880.82267
2059,123915.678293,656080.165754
2060,123915.678293,645532.649163
2061,123915.678293,635232.339999
2062,123915.678293,625173.444335
2063,123915.678293,615350.304009
2064,123915.678293,605757.393623
2065,123915.678293,596389.317003
2066,123915.678293,587240.804648
2067,123915.678293,578306.710625
2068,123915.678293,569582.009359
2069,123915.678293,561061.793303
2070,123915.678293,552741.269834
