year,Base case diesel consumed,Crooked creek (getmuna creek tributary)
2021,22500.4025147,0.0
2022,22500.4025147,0.0
2023,22500.4025147,0.0
2024,22596.558081,96.155566302
2025,22596.558081,96.155566302
2026,22596.558081,96.155566302
2027,22692.7136473,192.311132604
2028,22692.7136473,192.311132604
2029,22692.7136473,192.311132604
2030,22788.8692136,288.466698906
2031,22788.8692136,288.466698906
2032,22788.8692136,288.466698906
2033,22885.0247799,384.622265208
2034,22885.0247799,384.622265208
2035,22981.1803462,480.77783151
2036,22981.1803462,480.77783151
2037,22981.1803462,480.77783151
2038,23077.3359125,576.933397812
2039,23077.3359125,576.933397812
2040,23173.4914788,673.088964114
2041,23173.4914788,673.088964114
2042,23269.6470451,769.244530416
2043,23269.6470451,769.244530416
2044,23365.8026114,865.400096718
2045,23365.8026114,865.400096718
2046,23365.8026114,865.400096718
2047,23461.9581777,961.55566302
2048,23558.113744,1057.71122932
2049,23558.113744,1057.71122932
2050,23558.113744,1057.71122932
2051,23558.113744,1057.71122932
2052,23558.113744,1057.71122932
2053,23558.113744,1057.71122932
2054,23558.113744,1057.71122932
2055,23558.113744,1057.71122932
2056,23558.113744,1057.71122932
2057,23558.113744,1057.71122932
2058,23558.113744,1057.71122932
2059,23558.113744,1057.71122932
2060,23558.113744,1057.71122932
2061,23558.113744,1057.71122932
2062,23558.113744,1057.71122932
2063,23558.113744,1057.71122932
2064,23558.113744,1057.71122932
2065,23558.113744,1057.71122932
2066,23558.113744,1057.71122932
2067,23558.113744,1057.71122932
2068,23558.113744,1057.71122932
2069,23558.113744,1057.71122932
2070,23558.113744,1057.71122932
