year,Base case cost,Modeled diesel efficiency
2019,251657.680976,411861.692656
2020,270071.657632,424310.687466
2021,282347.64207,431280.259285
2022,291116.202383,435159.476546
2023,298131.050633,437540.321089
2024,303392.186821,438420.544979
2025,309530.17904,440189.378547
2026,317421.883321,443641.819859
2027,324436.731571,446384.349835
2028,329697.867759,447617.782149
2029,336712.716009,450528.687681
2030,341096.996166,451129.407428
2031,349865.556478,455795.172074
2032,357757.26076,459741.271159
2033,365648.965041,463763.030632
2034,374417.525354,468655.819097
2035,380555.517573,471229.337396
2036,389324.077886,476264.745481
2037,394585.214073,478180.398934
2038,403353.774386,483351.819722
