year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,104729.214127,68073.9891829
2018,105141.866355,68342.2131304
2019,105452.354225,68544.0302464
2020,105727.88758,68723.1269273
2021,106011.356555,68907.3817609
2022,106199.058255,69029.3878658
2023,106303.489931,69097.2684554
2024,106416.774952,69170.9037189
2025,106462.796148,69200.8174964
2026,106523.231021,69240.1001637
2027,106636.300107,69313.5950693
2028,106724.968511,69371.2295321
2029,106453.456949,69194.7470172
2030,106246.698966,69060.3543276
2031,106119.135228,68977.437898
