year,population
2003,31364.0
2004,31213.0
2005,31340.0
2006,30943.0
2007,30350.0
2008,30554.0
2009,30946.0
2010,31275.0
2011,31512.0
2012,31667.0
2013,31902.0
2014,32122.0
2015,32334.0
2016,32544.0
2017,32748.0
2018,32901.0
2019,33016.0
2020,33118.0
2021,33223.0
2022,33292.0
2023,33331.0
2024,33373.0
2025,33390.0
2026,33413.0
2027,33454.0
2028,33487.0
2029,33387.0
2030,33310.0
2031,33263.0
2032,33296.0
2033,33357.0
2034,33413.0
2035,33407.0
2036,33381.0
2037,33325.0
2038,33271.0
2039,33267.0
2040,33284.0
