year,Base case cost,Modeled biomass for heat (cordwood)
2017,21638639.8174,27318257.1015
2018,24143766.1174,29041140.7772
2019,27650942.9374,31507994.8697
2020,29404531.3474,32681173.5277
2021,30573590.2874,33425032.952
2022,31408632.3874,33924739.3905
2023,32076666.0674,34303715.993
2024,32577691.3274,34561898.0826
2025,33162220.7974,34884456.5652
2026,33913758.6874,35333074.449
2027,34581792.3674,35722457.4331
2028,35082817.6274,35990802.0048
2029,35750851.3074,36385029.4749
2030,36168372.3574,36596360.3014
2031,37003414.4574,37118697.212
2032,,
2033,,
2034,,
2035,,
2036,,
