year,Base case cost,Modeled residential energy efficiency
2017,45725046.2426,48563408.2824
2018,49243913.7309,51070004.4413
2019,54032590.0228,54543800.9529
2020,56538127.8893,56279462.6229
2021,58297367.2203,57454050.4542
2022,59548887.3522,58228949.5141
2023,60516855.0586,58776824.5103
2024,61277620.5676,59173904.9701
2025,62087407.4086,59599228.8466
2026,63137534.5883,60218310.802
2027,64120578.6257,60800682.6506
2028,64865784.0183,61201168.3472
2029,65514657.9982,61458410.9794
2030,65881730.5846,61515282.0519
2031,66871918.4016,62071082.0708
2032,67941039.7064,62735664.8632
2033,69090877.563,63485026.755
2034,70343054.365,64315005.6897
2035,71105602.6039,64736298.1143
2036,72145673.3573,65361828.8924
