year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,8350421.0,5956873.69548
2018,8350421.0,5956873.69548
2019,8350421.0,5956873.69548
2020,8350421.0,5956873.69548
2021,8350421.0,5956873.69548
2022,8350421.0,5956873.69548
2023,8350421.0,5956873.69548
2024,8350421.0,5956873.69548
2025,8350421.0,5956873.69548
2026,8350421.0,5956873.69548
2027,8350421.0,5956873.69548
2028,8350421.0,5956873.69548
2029,8350421.0,5956873.69548
2030,8350421.0,5956873.69548
2031,8350421.0,5956873.69548
2032,,
2033,,
2034,,
2035,,
2036,,
