year,Base case cost,Modeled non-residential energy efficiency
2017,45470899.7792,47413125.269
2018,47980822.3314,49731041.2612
2019,51494713.9045,53056892.6994
2020,53251659.691,54631046.5089
2021,54422956.8821,55624109.3394
2022,55259597.7328,56286847.4726
2023,55928910.4134,56786407.4646
2024,56430894.9238,57122694.0184
2025,57016543.5193,57546480.279
2026,57769520.285,58141297.4331
2027,58438832.9656,58656190.522
2028,58940817.476,59007450.8033
2029,59610130.1566,59529481.9133
2030,60028450.582,59804090.8496
2031,60865091.4327,60500173.4469
