year,Base case cost,Modeled solar power (pv)
2016,153449.805473,158505.100013
2017,188524.046724,192967.349183
2018,214829.727662,218790.988891
2019,251657.680976,255004.310677
2020,270071.657632,273060.472573
2021,282347.64207,285066.875794
2022,291116.202383,293617.470623
2023,298131.050633,300441.913389
2024,303392.186821,305539.562683
2025,309530.17904,311506.632619
2026,317421.883321,319209.017262
2027,324436.731571,326049.788636
2028,329697.867759,331162.715136
2029,336712.716009,338011.071811
2030,341096.996166,342265.020157
2031,349865.556478,350852.857003
2032,357757.26076,358578.422082
2033,365648.965041,366307.697597
2034,374417.525354,374907.008741
2035,380555.517573,380910.60419
