year,Base case cost,Sheep creek,Water supply creek (hoonah),Turner lake (turner creek),Yehring creek,Tease creek (tease lake),Treadwell ditch,Sawmill creek,Sweetheart lake -- sweetheart falls creek,Peterson lake,Rhine creek,Davidson creek,Davies creek,"Funter bay (s funter bay creek; 58.13, 134.52) -- south funter bay creek","Greens creek (hawk inlet; 58.04, 134.43)",Bear creek (taku harbor),Boundary lake (boundary creek),Carlson creek,Cowee creek,Lemon creek,Nugget creek
2021,282347.64207,3372397.03605,1006613.34995,5799983.38765,7523020.51441,25957852.9816,5720693.59022,2681321.68331,13947552.7659,4016651.88442,2390674.23248,418538.136694,4122887.54434,706076.169484,998830.567665,273795.453554,28758424.5285,14087757.8636,887214.606479,7074445.46547,8922717.48704
2022,291116.202383,3300579.672,985498.966105,5676887.01988,7360196.95937,25406830.2188,5599168.69095,2625179.66011,13606023.6799,3931274.35476,2339699.02639,414663.995251,4035928.85589,701087.310772,988388.601547,274903.983858,28138922.7081,13788531.3287,868957.496741,6924061.97093,8734228.70292
2023,298131.050633,3230931.41888,964975.025077,5557485.54231,7202570.10122,24872438.836,5481301.8506,2570636.90227,13279136.2966,3848464.73432,2290262.72481,410386.332688,3951521.48454,695235.205543,977174.198251,275268.158951,27538984.6685,13498342.4634,851173.637879,6778220.42477,8551325.75682
2024,303392.186821,3163414.33792,945030.225741,5441713.8556,7050054.79336,24354387.7111,5367028.83304,2517663.45186,12966723.6575,3768177.88745,2242338.397,405701.482955,3869619.2592,688514.063848,965178.457241,274886.35278,26958285.8009,13217033.1964,833853.142056,6636841.38399,8373908.74304
2025,309530.17904,3097165.7942,925491.139898,5328132.41057,6900222.22311,23846077.3023,5254910.9321,2465748.46169,12657345.4968,3689406.55351,2195314.9538,401445.774718,3789305.06639,682583.65797,954120.976757,274977.577538,26387938.4172,12941009.2223,816909.298574,6498118.69821,8199895.30685
2026,317421.883321,3031874.41099,906292.85918,5216220.4644,6752209.30017,23345124.8894,5144428.22822,2414702.83088,12347083.5151,3611786.62633,2148971.7819,397895.681317,3710244.19859,677993.608298,944569.365214,275947.149193,25824776.0468,12668973.1445,800306.992679,6361400.41403,8028528.5728
2027,324436.731571,2968330.44086,887587.250677,5107293.36498,6608282.38835,22857574.5904,5036896.87321,2364980.25074,12047059.4433,3536239.25354,2103868.59005,394207.879735,3633265.68068,673073.096066,934787.043282,276572.953255,25277067.0651,12404217.6885,784114.070337,6228341.11471,7861700.28825
2028,329697.867759,2906774.57385,869418.16672,5001750.5633,6469145.93451,22385266.712,4932717.10319,2316714.00519,11760880.5073,3463044.4455,2060175.81478,390099.066125,3558618.19511,667261.713169,924189.819246,276446.644128,24747373.1373,12147745.7356,768347.223478,6099444.73702,7699981.18635
2029,336712.716009,2846072.33272,851559.047189,4897699.60478,6331596.76348,21919522.359,4829997.23027,2269235.36405,11473362.1223,3390877.86939,2017089.81701,386685.862731,3485098.03392,662774.885748,915074.174649,277194.244414,24223978.367,11894830.3035,752894.930367,5972335.96151,7540636.14459
2030,341096.996166,2787566.7865,834270.743179,4797377.31747,6199470.4587,21470614.4283,4730974.83125,2223320.99543,11203154.8433,3321305.68123,1975561.8875,382565.24179,3414118.52431,656831.880954,904551.905907,276780.01019,23720885.6795,11651067.5191,737877.039035,5849826.8314,7386886.49304
2031,349865.556478,2729024.23908,817110.637145,4697059.29223,6066439.80076,21021455.6841,4631926.22816,2177661.28034,10920044.6634,3251721.16214,1934009.77617,379973.854827,3343315.15943,653868.931951,897224.247808,278457.49783,23214964.9567,11407150.321,723079.695261,5727240.53806,7233354.83401
