year,Base case cost,Modeled biomass for heat (pellet)
2017,21638639.8174,26019130.3079
2018,24143766.1174,27742089.4158
2019,27650942.9374,30181375.7812
2020,29404531.3474,31371185.8718
2021,30573590.2874,32145447.6175
2022,31408632.3874,32682833.6475
2023,32076666.0674,33102448.6412
2024,32577691.3274,33404260.5729
2025,33162220.7974,33766944.3779
2026,33913758.6874,34250038.2508
2027,34581792.3674,34674806.1549
2028,35082817.6274,34981650.2256
2029,35750851.3074,35408816.9655
2030,36168372.3574,35658434.9127
2031,37003414.4574,36207026.835
2032,,
2033,,
2034,,
2035,,
2036,,
