year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,91177.0,79312.9086174
2018,90155.0,78290.9086174
2019,90155.0,78290.9086174
2020,89132.0,77267.9086174
2021,88110.0,76245.9086174
2022,88110.0,76245.9086174
2023,87087.0,75222.9086174
2024,86065.0,74200.9086174
2025,86065.0,74200.9086174
2026,85042.0,73177.9086174
2027,84020.0,72155.9086174
2028,84020.0,72155.9086174
2029,82997.0,71132.9086174
2030,81974.0,70109.9086174
2031,81974.0,70109.9086174
2032,80952.0,69087.9086174
2033,80952.0,69087.9086174
2034,79929.0,68064.9086174
2035,78907.0,67042.9086174
2036,78907.0,67042.9086174
