year,Base case cost,Modeled solar power
2020,118545.958698,120083.691475
2021,124081.922762,125525.063968
2022,128754.131885,130112.55194
2023,131670.626884,132961.759577
2024,134153.481647,135382.755353
2025,137535.346655,138696.562117
2026,141375.53061,142466.443491
2027,144051.408161,145081.150409
2028,147017.260585,147987.265188
2029,150441.431957,151349.388594
2030,152980.695206,153835.401026
2031,156877.287648,157669.066048
2032,160473.328626,161203.610364
2033,164391.07425,165061.260512
2034,168774.189882,169382.086537
2035,171364.573322,171925.73276
2036,175433.916752,175935.44695
2037,178494.077113,178947.76818
2038,182926.550171,183323.192606
2039,185650.022382,186001.186644
