year,Base case cost,"Central (circle hot springs, boulder creek)","Central(circle hot springs, crooked creek)","Central (circle hot springs, ketchem creek) -- ketchum creek","Central (circle hot springs, lower deadwood creek)","Central (circle hot springs, portage creek)","Central (circle hot springs, upper deadwood creek)"
2021,124081.922762,809435.754194,762622.639887,528864.4888,550850.362819,505107.267662,644796.583783
2022,128754.131885,797380.075234,751473.366275,522241.289589,543801.468499,498944.060755,635928.683008
2023,131670.626884,784796.902244,739775.354759,514963.272612,536107.733642,492115.255014,626458.574657
2024,134153.481647,772334.18737,728177.055392,507681.374183,528419.860718,485272.039433,617035.961985
2025,137535.346655,760650.646324,717337.670108,501057.224165,521399.251235,479076.290632,608321.270726
2026,141375.53061,749520.038639,707031.433284,494867.428021,514822.287646,473304.85505,600089.930406
2027,144051.408161,737978.469552,696294.913871,488150.870239,507727.636653,466996.852508,591379.677125
2028,147017.260585,727028.870936,686131.496571,481913.196692,501120.731456,461158.158684,583195.035331
2029,150441.431957,716610.457805,676480.838638,476096.27292,494943.2299,455730.863551,575476.775367
2030,152980.695206,706039.243712,666659.385475,470018.700742,488513.530982,450033.788088,567542.429579
2031,156877.287648,696440.461419,657792.791593,464808.240656,482959.197124,445194.906826,560518.714004
2032,160473.328626,686815.790958,648883.148879,459469.041106,477284.183344,440218.577223,553408.757139
2033,164391.07425,677781.051078,640546.678279,454619.331395,472106.53005,435723.232693,546829.792244
2034,168774.189882,669251.569716,632699.10051,450176.793551,467343.734801,431626.754595,540698.528637
2035,171364.573322,660073.359653,624186.811929,444989.739289,461843.929165,426777.649306,533862.328114
2036,175433.916752,651735.710991,616499.477214,440549.703716,457098.472329,422667.642027,527811.798144
2037,178494.077113,643298.981885,608697.820319,435919.237376,452169.743038,418359.468942,521608.583376
2038,182926.550171,635806.645327,601825.67147,432143.954316,448103.187563,414898.925389,516297.413173
2039,185650.022382,627504.10939,594128.78759,427471.35342,443146.140951,410533.687292,510124.922496
2040,190558.44204,620725.513643,587941.648931,424237.616118,439634.624629,407600.108974,505426.449076
2041,190927.741346,611850.177345,579643.907444,418824.055634,433949.795572,402479.672498,498582.482232
2042,190927.741346,602822.212887,571180.000418,413176.731621,428037.560842,397118.602398,491538.277008
2043,191297.040652,594375.140569,563283.765442,408031.066019,422633.193366,392252.481635,485028.469584
2044,191297.040652,585765.402715,555211.954675,402645.358138,416994.846938,387139.76676,478310.591965
2045,191666.339959,577726.754909,547698.626291,397755.177099,411857.948568,382516.180452,472119.463918
2046,191666.339959,569515.869053,540000.747681,392618.965821,406480.802397,377640.315592,465712.796577
2047,192035.639265,561866.72517,532852.587437,387972.43382,401598.982415,373248.028139,459825.584832
2048,192035.639265,554036.214177,525511.318281,383074.161017,396470.936191,368598.041029,453715.710706
2049,192404.938571,546758.530117,518711.409452,378659.990805,391832.377874,364426.337314,448118.336081
2050,192404.938571,539290.772929,511710.229638,373988.633858,386941.891918,359991.764055,442291.506075
2051,192404.938571,531998.041311,504873.139985,369426.761846,382166.026732,355661.126112,436601.242404
2052,192404.938571,524876.23306,498196.294594,364971.80869,377502.095868,351431.987479,431044.344266
2053,192404.938571,517921.342248,491675.93782,360621.268535,372947.475921,347301.969316,425617.685973
2054,192404.938571,511129.456643,485308.401865,356372.694136,368499.604849,343268.748427,420318.214947
2055,192404.938571,504496.755861,479090.105037,352223.695702,364155.980758,339330.056154,415142.950277
2056,192404.938571,498019.509007,473017.549545,348171.939421,359914.160358,335483.676984,410088.980875
2057,192404.938571,491694.072606,467087.319553,344215.146165,355771.757612,331727.447314,405153.463866
2058,192404.938571,485516.888678,461296.079381,340351.090288,351726.442467,328059.254311,400333.623081
2059,192404.938571,479484.482454,455640.571357,336577.598191,347775.939366,324477.034555,395626.747279
2060,192404.938571,473593.460729,450117.614284,332892.547303,343918.026169,320978.773061,391030.188863
2061,192404.938571,467840.509875,444724.101563,329293.864825,340150.532843,317562.502101,386541.362323
2062,192404.938571,462222.39376,439456.999252,325779.526438,336471.340112,314226.299963,382157.742618
2063,192404.938571,456735.952256,434313.344666,322347.555367,332878.37847,310968.290072,377876.864012
2064,192404.938571,451378.09924,429290.244498,318996.021128,329369.626877,307786.639797,373696.31851
2065,192404.938571,446145.820952,424384.873285,315723.038501,325943.11168,304679.559477,369613.754579
2066,192404.938571,441036.174065,419594.471596,312526.766329,322596.905354,301645.301282,365626.875647
2067,192404.938571,436046.28462,414916.345035,309405.406845,319329.1258,298682.158568,361733.439263
2068,192404.938571,431173.34567,410347.862027,306357.204199,316137.934803,295788.464488,357931.255263
2069,192404.938571,426414.616275,405886.452887,303380.443834,313021.537377,292962.591392,354218.184989
2070,192404.938571,421767.419584,401529.608007,300473.451278,309978.180505,290202.949687,350592.139786
