year,Base case diesel consumed,"Central (circle hot springs, boulder creek)","Central(circle hot springs, crooked creek)","Central (circle hot springs, ketchem creek) -- ketchum creek","Central (circle hot springs, lower deadwood creek)","Central (circle hot springs, portage creek)","Central (circle hot springs, upper deadwood creek)"
2021,44157.2678868,19288.6206423,19288.6206423,19288.6206423,19288.6206423,19288.6206423,19288.6206423
2022,44245.4061461,19376.7589015,19376.7589015,19376.7589015,19376.7589015,19376.7589015,19376.7589015
2023,44333.5444053,19464.8971608,19464.8971608,19464.8971608,19464.8971608,19464.8971608,19464.8971608
2024,44421.6826646,19553.03542,19553.03542,19553.03542,19553.03542,19553.03542,19553.03542
2025,44509.8209238,19641.1736793,19641.1736793,19641.1736793,19641.1736793,19641.1736793,19641.1736793
2026,44597.9591831,19729.3119386,19729.3119386,19729.3119386,19729.3119386,19729.3119386,19729.3119386
2027,44597.9591831,19729.3119386,19729.3119386,19729.3119386,19729.3119386,19729.3119386,19729.3119386
2028,44686.0974423,19817.4501978,19817.4501978,19817.4501978,19817.4501978,19817.4501978,19817.4501978
2029,44774.2357016,19905.5884571,19905.5884571,19905.5884571,19905.5884571,19905.5884571,19905.5884571
2030,44862.3739608,19993.7267163,19993.7267163,19993.7267163,19993.7267163,19993.7267163,19993.7267163
2031,44950.5122201,20081.8649756,20081.8649756,20081.8649756,20081.8649756,20081.8649756,20081.8649756
2032,44950.5122201,20081.8649756,20081.8649756,20081.8649756,20081.8649756,20081.8649756,20081.8649756
2033,45038.6504793,20170.0032348,20170.0032348,20170.0032348,20170.0032348,20170.0032348,20170.0032348
2034,45126.7887386,20258.1414941,20258.1414941,20258.1414941,20258.1414941,20258.1414941,20258.1414941
2035,45214.9269979,20346.2797533,20346.2797533,20346.2797533,20346.2797533,20346.2797533,20346.2797533
2036,45214.9269979,20346.2797533,20346.2797533,20346.2797533,20346.2797533,20346.2797533,20346.2797533
2037,45303.0652571,20434.4180126,20434.4180126,20434.4180126,20434.4180126,20434.4180126,20434.4180126
2038,45391.2035164,20522.5562718,20522.5562718,20522.5562718,20522.5562718,20522.5562718,20522.5562718
2039,45391.2035164,20522.5562718,20522.5562718,20522.5562718,20522.5562718,20522.5562718,20522.5562718
2040,45479.3417756,20610.6945311,20610.6945311,20610.6945311,20610.6945311,20610.6945311,20610.6945311
2041,45567.4800349,20698.8327904,20698.8327904,20698.8327904,20698.8327904,20698.8327904,20698.8327904
2042,45567.4800349,20698.8327904,20698.8327904,20698.8327904,20698.8327904,20698.8327904,20698.8327904
2043,45655.6182941,20786.9710496,20786.9710496,20786.9710496,20786.9710496,20786.9710496,20786.9710496
2044,45655.6182941,20786.9710496,20786.9710496,20786.9710496,20786.9710496,20786.9710496,20786.9710496
2045,45743.7565534,20875.1093089,20875.1093089,20875.1093089,20875.1093089,20875.1093089,20875.1093089
2046,45743.7565534,20875.1093089,20875.1093089,20875.1093089,20875.1093089,20875.1093089,20875.1093089
2047,45831.8948126,20963.2475681,20963.2475681,20963.2475681,20963.2475681,20963.2475681,20963.2475681
2048,45831.8948126,20963.2475681,20963.2475681,20963.2475681,20963.2475681,20963.2475681,20963.2475681
2049,45920.0330719,21051.3858274,21051.3858274,21051.3858274,21051.3858274,21051.3858274,21051.3858274
2050,45920.0330719,21051.3858274,21051.3858274,21051.3858274,21051.3858274,21051.3858274,21051.3858274
2051,45920.0330719,21051.3858274,21051.3858274,21051.3858274,21051.3858274,21051.3858274,21051.3858274
2052,45920.0330719,21051.3858274,21051.3858274,21051.3858274,21051.3858274,21051.3858274,21051.3858274
2053,45920.0330719,21051.3858274,21051.3858274,21051.3858274,21051.3858274,21051.3858274,21051.3858274
2054,45920.0330719,21051.3858274,21051.3858274,21051.3858274,21051.3858274,21051.3858274,21051.3858274
2055,45920.0330719,21051.3858274,21051.3858274,21051.3858274,21051.3858274,21051.3858274,21051.3858274
2056,45920.0330719,21051.3858274,21051.3858274,21051.3858274,21051.3858274,21051.3858274,21051.3858274
2057,45920.0330719,21051.3858274,21051.3858274,21051.3858274,21051.3858274,21051.3858274,21051.3858274
2058,45920.0330719,21051.3858274,21051.3858274,21051.3858274,21051.3858274,21051.3858274,21051.3858274
2059,45920.0330719,21051.3858274,21051.3858274,21051.3858274,21051.3858274,21051.3858274,21051.3858274
2060,45920.0330719,21051.3858274,21051.3858274,21051.3858274,21051.3858274,21051.3858274,21051.3858274
2061,45920.0330719,21051.3858274,21051.3858274,21051.3858274,21051.3858274,21051.3858274,21051.3858274
2062,45920.0330719,21051.3858274,21051.3858274,21051.3858274,21051.3858274,21051.3858274,21051.3858274
2063,45920.0330719,21051.3858274,21051.3858274,21051.3858274,21051.3858274,21051.3858274,21051.3858274
2064,45920.0330719,21051.3858274,21051.3858274,21051.3858274,21051.3858274,21051.3858274,21051.3858274
2065,45920.0330719,21051.3858274,21051.3858274,21051.3858274,21051.3858274,21051.3858274,21051.3858274
2066,45920.0330719,21051.3858274,21051.3858274,21051.3858274,21051.3858274,21051.3858274,21051.3858274
2067,45920.0330719,21051.3858274,21051.3858274,21051.3858274,21051.3858274,21051.3858274,21051.3858274
2068,45920.0330719,21051.3858274,21051.3858274,21051.3858274,21051.3858274,21051.3858274,21051.3858274
2069,45920.0330719,21051.3858274,21051.3858274,21051.3858274,21051.3858274,21051.3858274,21051.3858274
2070,45920.0330719,21051.3858274,21051.3858274,21051.3858274,21051.3858274,21051.3858274,21051.3858274
