year,Base case cost,Modeled biomass for heat (cordwood)
2017,312809.3399,346761.232709
2018,332743.370277,362911.110307
2019,366100.720277,391195.65175
2020,377990.289862,400282.600173
2021,384229.40024,404446.56967
2022,393040.40024,411434.978975
2023,393702.229825,410763.692025
2024,393385.230202,409246.777819
2025,399409.780202,413848.351177
2026,401465.609788,414376.449697
2027,401682.160165,413316.111859
2028,406723.360165,417093.666837
2029,407581.01975,416581.973283
2030,406655.979336,414537.491251
2031,413213.899336,419632.38057
2032,414538.369713,419505.864876
2033,421014.529713,424542.801122
2034,422887.729298,424869.622675
2035,421425.889676,422347.18609
2036,428527.519676,427924.609982
