year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,45528.6278598,33691.1846163
2018,45528.6278598,33691.1846163
2019,45528.6278598,33691.1846163
2020,45528.6278598,33691.1846163
2021,45528.6278598,33691.1846163
2022,45528.6278598,33691.1846163
2023,45528.6278598,33691.1846163
2024,45528.6278598,33691.1846163
2025,45528.6278598,33691.1846163
2026,45528.6278598,33691.1846163
2027,45528.6278598,33691.1846163
2028,45528.6278598,33691.1846163
2029,45528.6278598,33691.1846163
2030,45528.6278598,33691.1846163
2031,45528.6278598,33691.1846163
