year,Base case diesel consumed,Modeled solar power
2020,44069.1296275,43670.0455257
2021,44157.2678868,43761.3764578
2022,44245.4061461,43852.6818484
2023,44333.5444053,43943.9619021
2024,44421.6826646,44035.2168214
2025,44509.8209238,44126.4468074
2026,44597.9591831,44217.6520595
2027,44597.9591831,44220.6945165
2028,44686.0974423,44311.8508931
2029,44774.2357016,44402.9831248
2030,44862.3739608,44494.0914046
2031,44950.5122201,44585.1759243
2032,44950.5122201,44588.0986147
2033,45038.6504793,44679.1361828
2034,45126.7887386,44770.1505564
2035,45214.9269979,44861.1419212
2036,45214.9269979,44863.9722018
2037,45303.0652571,44954.9180994
2038,45391.2035164,45045.8415359
2039,45391.2035164,45048.6044318
